             a    b    c    d    e    f    g    h    i    j    k    l    m    n    o    p    r    s    t    text-a    text-b    text-c    u    total
habitasse    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
hac          0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
help         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
hendrerit    0    0    2    0    0    1    0    0    2    1    0    1    0    1    1    1    1    0    0    0         0         0         0    11
how          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
iaculis      0    0    0    1    0    0    0    0    1    5    1    0    1    0    1    1    0    0    1    0         0         0         0    12
id           0    2    0    1    1    0    2    1    2    1    2    0    0    0    2    2    2    3    0    0         0         0         4    25
if           0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
imperdiet    2    1    1    0    1    0    1    0    0    2    0    1    0    1    1    0    0    1    1    0         0         0         0    13
in           1    0    1    0    1    2    1    5    1    3    2    2    1    0    0    0    2    1    5    1         1         0         1    31
integer      0    0    2    0    1    0    1    0    0    1    1    1    0    0    0    0    0    0    0    0         0         0         1    8
interdum     1    0    0    0    1    0    0    0    0    2    2    0    0    0    0    1    0    0    0    0         0         0         1    8
ipsum        0    0    0    1    1    2    2    1    2    2    0    1    1    1    1    0    2    1    0    0         0         0         4    22
justo        2    2    1    0    1    1    1    0    2    4    1    0    1    2    1    0    2    1    1    0         0         0         1    24
lacinia      0    0    0    0    0    1    1    0    2    0    1    1    0    0    1    0    0    0    0    0         0         0         1    8
lacus        1    0    0    0    1    0    0    0    0    1    0    0    1    0    0    1    0    0    1    0         0         0         0    6
laoreet      1    0    2    0    0    0    0    1    1    0    0    0    1    0    1    0    0    0    1    0         0         0         0    8
lectus       1    0    0    1    0    1    1    1    3    2    1    0    0    0    1    1    0    0    1    0         0         0         0    14
leo          0    0    0    0    1    0    1    0    1    0    0    2    0    1    0    1    1    2    0    0         0         0         2    12
libero       0    1    0    0    0    2    1    2    0    1    1    0    0    0    1    2    1    1    1    0         0         0         0    14
ligula       0    0    1    0    0    0    2    1    1    2    2    2    1    0    2    1    1    1    1    0         0         0         1    19
lobortis     0    0    0    0    1    1    0    0    0    0    0    2    0    0    1    0    0    0    2    0         0         0         0    7
lorem        0    0    0    1    0    3    2    0    3    2    3    1    2    1    0    0    0    0    1    0         0         0         0    19
luctus       1    0    1    0    0    1    1    1    1    3    0    0    0    1    0    0    0    1    0    0         0         0         0    11
maecenas     3    0    1    0    0    0    0    0    1    0    1    1    0    0    1    0    0    0    0    0         0         0         0    8
magna        0    0    0    0    0    0    1    0    1    3    1    0    0    0    0    1    0    0    0    0         0         0         0    7
malesuada    0    0    0    1    1    0    0    1    1    2    0    1    0    0    1    1    0    0    1    0         0         0         1    11
many         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    2         0         0         0    2
massa        0    2    0    1    0    1    1    1    0    0    1    2    1    1    1    0    1    0    0    0         0         0         0    13
mattis       0    0    0    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    0         0         0         1    5
mauris       1    2    0    1    2    2    0    0    0    0    1    1    0    0    1    1    1    1    1    0         0         0         1    16
maximus      0    1    0    2    0    0    2    0    0    1    0    0    0    0    0    0    0    1    0    0         0         0         0    7
metus        2    0    0    0    0    2    0    0    0    1    0    1    2    0    0    1    0    0    1    0         0         0         0    10
mi           1    1    1    1    0    1    1    0    1    0    0    0    0    4    0    1    1    0    0    0         0         0         0    13
molestie     0    0    0    0    0    0    1    1    0    0    1    0    1    0    1    1    0    1    2    0         0         0         3    12
mollis       0    0    0    0    0    2    0    1    0    2    0    0    0    0    0    2    0    0    0    0         0         0         1    8
morbi        1    0    0    1    0    1    0    0    0    0    0    0    0    1    0    0    0    0    1    0         0         0         3    8
nam          0    0    0    1    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0         0         0         1    5
nec          2    1    0    1    0    2    0    2    2    1    0    0    0    0    1    0    0    2    1    0         0         0         1    16
neque        1    1    0    1    1    1    1    2    0    1    0    0    0    1    0    0    0    0    1    0         0         0         0    11
netus        0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
nibh         0    0    1    0    1    1    0    1    2    0    2    1    0    0    0    0    1    1    1    0         0         0         0    12
nisi         1    0    0    0    0    0    1    1    0    2    0    0    0    0    0    0    0    0    0    0         0         0         0    5
nisl         2    0    0    0    1    1    0    0    0    0    2    0    0    0    0    0    0    0    2    0         0         0         1    9
no           0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
non          1    0    1    1    1    1    1    0    1    1    1    2    0    1    0    4    0    2    1    0         0         0         1    20
not          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
nulla        1    2    0    0    1    2    2    0    0    1    1    1    0    1    2    0    1    2    1    0         0         0         1    19
nullam       0    1    0    0    0    0    1    1    0    1    0    0    1    0    0    0    0    0    0    0         0         0         0    5
nunc         1    1    1    1    0    1    1    2    0    2    0    1    0    1    1    3    1    1    3    0         0         0         1    22
odio         1    0    0    2    1    1    0    0    1    0    0    0    0    1    0    0    0    1    0    0         0         0         2    10
orci         0    0    0    0    0    1    1    1    0    2    0    0    0    1    0    1    0    1    1    0         0         0         1    10
order        0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
ornare       1    1    0    0    0    0    0    0    0    1    0    0    0    1    0    0    1    1    0    0         0         0         0    6
pellentesque 4    2    1    1    1    0    1    0    1    0    1    0    0    1    3    0    1    1    0    0         0         0         1    19
pharetra     1    0    0    0    0    0    1    3    1    1    0    1    0    0    0    1    1    1    0    0         0         0         0    11
phasellus    1    0    0    0    0    0    0    0    0    0    1    1    0    1    0    1    0    2    0    0         0         0         0    7
placerat     0    0    0    0    1    0    0    1    0    0    0    0    0    0    1    1    0    0    0    0         0         0         0    4
platea       0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
porta        0    0    1    0    0    1    1    1    1    0    1    0    0    2    0    2    0    0    0    0         0         0         0    10
porttitor    0    0    1    0    0    1    0    0    0    0    0    1    0    0    0    2    0    0    0    0         0         0         1    6
posuere      0    1    1    0    1    1    1    0    1    1    0    1    0    0    1    0    0    0    0    0         0         0         0    9
praesent     0    0    0    0    1    0    1    1    1    0    0    0    2    0    0    0    0    2    1    0         0         0         0    9
pretium      1    0    1    0    1    1    0    2    0    0    0    1    0    0    2    0    0    0    0    0         0         0         2    11
primis       0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0         0         0         0    2
proin        0    1    0    1    0    0    1    0    0    1    0    0    1    1    1    0    2    0    0    0         0         0         0    9
pulvinar     0    3    0    0    1    0    0    0    0    1    0    0    0    1    0    1    0    0    1    0         0         0         0    8
purus        0    0    2    1    0    1    3    0    0    1    1    0    0    0    1    1    0    0    0    0         0         0         1    12
quam         0    2    1    1    0    0    1    0    0    0    0    1    0    0    2    0    0    1    0    0         0         0         0    9
quis         2    3    0    1    0    2    3    1    0    0    1    0    2    1    0    0    1    1    1    0         0         0         2    21
quisque      0    1    0    0    1    0    1    1    0    2    0    0    1    0    1    0    0    0    0    0         0         0         2    10
really       0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
rhoncus      1    0    0    0    0    0    1    0    0    0    0    0    1    2    0    1    0    0    1    0         0         0         0    7
risus        0    1    0    0    0    0    1    1    1    1    0    0    1    0    0    0    0    1    0    0         0         0         1    8
rutrum       1    1    0    0    0    0    0    0    2    0    0    0    2    0    0    0    0    0    0    0         0         0         0    6
sagittis     1    0    0    0    0    0    0    0    0    2    0    1    1    2    1    0    0    0    1    0         0         0         0    9
sapien       1    0    0    0    0    0    0    2    0    1    1    2    2    2    0    0    2    0    2    0         0         0         0    15
scattered    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
scelerisque  1    0    0    1    1    0    0    0    0    0    0    0    0    3    0    1    1    0    0    0         0         0         0    8
sed          1    3    1    1    1    4    2    3    1    5    3    1    1    5    5    2    3    1    2    0         0         0         1    46
sem          1    1    0    0    0    1    2    1    1    0    1    1    0    0    0    0    0    0    1    0         0         0         1    11
semper       1    1    0    1    1    0    1    2    0    0    0    0    0    1    0    0    1    1    2    0         0         0         1    13
senectus     0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         0         0         0    1
sit          1    1    0    0    1    2    0    2    2    2    0    3    2    3    1    2    1    3    1    0         0         0         2    29
so           0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         1         1         0    3
sodales      0    0    0    0    0    1    1    0    0    0    2    0    1    0    2    0    0    2    0    0         0         0         1    10
sollicitudin 2    1    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0         0         0         1    6
start        0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
suscipit     1    0    0    0    0    0    0    0    2    1    0    1    0    0    0    0    1    1    0    0         0         0         1    8
suspendisse  1    1    0    0    0    0    0    0    1    1    0    0    0    0    0    1    1    0    0    0         0         0         1    7
tellus       0    0    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    1    0         0         0         1    4
tempor       0    0    1    0    0    0    0    1    2    1    0    0    0    0    0    0    0    0    1    0         0         0         0    6
tempus       0    0    0    1    0    1    2    1    0    0    0    1    0    0    0    0    0    1    0    0         0         0         0    7
that         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
the          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
them         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         1         0         0    2
there        0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
this         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
tincidunt    5    0    0    2    0    0    2    1    0    1    2    0    1    0    0    0    3    2    1    0         0         0         1    21
tortor       2    0    0    1    0    1    0    0    0    0    1    1    0    0    0    1    0    1    0    0         0         0         0    8
tristique    1    0    0    1    1    0    0    0    1    0    0    0    0    1    0    1    0    0    1    0         0         0         0    7
turpis       2    0    0    3    1    1    0    0    0    0    0    2    0    1    0    1    0    0    0    0         0         0         2    13
ullamcorper  0    0    0    1    0    0    0    2    1    1    0    3    0    1    0    0    0    0    0    0         0         0         2    11
ultrices     0    0    1    1    0    1    0    0    0    2    0    0    1    0    0    0    0    0    1    0         0         0         0    7
ultricies    2    0    1    1    0    0    0    0    1    1    0    0    0    1    1    1    1    1    0    0         0         0         1    12
urna         1    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    1    0         0         0         1    5
ut           4    1    0    0    2    0    4    1    2    3    1    2    2    4    2    2    1    2    2    0         0         0         1    36
varius       0    0    0    0    0    0    1    1    0    0    1    1    0    1    0    0    0    0    3    0         0         0         0    8
vehicula     1    0    1    0    1    0    0    0    2    0    2    0    2    0    0    1    1    1    0    0         0         0         0    12
vel          4    2    1    0    0    5    5    0    2    2    2    1    0    1    0    1    0    0    2    0         0         0         2    30
velit        3    1    1    0    2    0    1    0    0    1    1    0    1    0    0    0    0    1    0    0         0         0         1    13
venenatis    1    0    0    1    0    1    0    0    1    0    1    0    0    0    0    0    0    2    1    0         0         0         0    8
vestibulum   2    1    0    1    0    2    1    1    1    1    1    0    0    1    0    3    1    1    2    0         0         0         0    19
vitae        3    1    2    2    2    1    3    0    1    3    0    2    0    0    0    2    1    0    1    0         0         0         3    27
vivamus      1    0    1    1    0    0    0    0    3    0    1    1    0    0    1    1    0    0    0    0         0         0         0    10
viverra      0    2    0    0    0    0    1    1    0    0    0    0    0    0    0    0    1    1    0    0         0         0         0    6
volutpat     1    1    0    0    0    3    0    1    0    0    2    1    0    0    1    1    1    3    0    0         0         0         2    17
vulputate    0    1    0    0    1    2    0    0    0    0    1    0    0    0    2    1    0    0    1    0         0         0         1    10
well         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         0         0    1
what         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         1         0    2
whatsoever   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
will         0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0         1         0         0    1
words        0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         1         0         0    2
you          0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1         0         1         0    2
